username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TMZ,@TMZ,2021-08-12T20:52:54.000Z,#BREAKING: Jamie Spears Agrees to Step Down as Britney's Conservator #FreeBritney,"Jamie Spears Agrees to Step Down as Britney's Conservator
Jamie Spears Agrees to Step Down as Britney's Conservator.
tmz.com",1.1K,28.3K,55.2K,"['BREAKING', 'FreeBritney']"
Joe Roetz,@JoeRoetz,2021-08-12T23:12:27.000Z,"#BREAKING.... THREE Broward County teachers and ONE assistant have died in a 24 period this week due to coronavirus.  Just days before the new school year is set to begin.  
@wsvn",,268,3.1K,4.7K,['BREAKING']
MKG 2.0,@MKG_II_0,2021-08-10T17:35:39.000Z,"#BREAKING 

2nd Sept 2010, 35-yr old ex-soldier Bishnu Shrestha going home, after retiring as a Naik in Gurkha infantry, Indian army.

In midnight train suddenly stopped at dense jungles of West Bengal.",,52,962,2.2K,['BREAKING']
CP24,@CP24,2021-08-13T16:36:00.000Z,"#BREAKING: Federal government to require all government employees, airline crews and passengers and other transportation workers to be vaccinated against COVID-19 by this October","Canada mandating COVID-19 vaccination for all federal workers, airline passengers by Oct. 2021
Ottawa is requiring that federal employees be vaccinated against COVID-19.
cp24.com",81,239,682,['BREAKING']
CBSDFW,@CBSDFW,2021-08-11T19:31:39.000Z,"#BREAKING: Dallas County Judge Clay Jenkins signs order requiring masks inside schools, businesses","Dallas County Judge Clay Jenkins Signs Order Requiring Masks Inside Schools, Businesses
Face masks will be required inside schools and businesses in Dallas County, according to an executive order signed by Judge Clay Jenkins on Wednesday.
dfw.cbslocal.com",54,59,339,['BREAKING']
Mercedes Stephenson,@MercedesGlobal,2021-08-12T23:49:53.000Z,"#BREAKING Global News can confirm Canadian Special Operations Forces are gearing up to deploy to Afghanistan and evacuate Canadians at the embassy.

Sources tell Global News the embassy is being shut down and is in full rip out mode.",,139,1K,1.6K,['BREAKING']
Globalnews.ca,@globalnews,2021-08-11T20:01:05.000Z,"#BREAKING: Canada is getting a vaccine passport for international travel, Immigration Minister Marco Mendicino says.","Canada getting vaccine passport for international travel - National | Globalnews.ca
""We are working actively with the provinces and territories on a secure, pan-Canadian proof of vaccination for international travel,"" the minister said.
globalnews.ca",215,403,1.4K,['BREAKING']
Texas Attorney General,@TXAG,2021-08-10T16:12:28.000Z,"#BREAKING: In response to my mandamus filing, the Texas Supreme Court just entered an order stopping the activist judge in Austin, TX ",,328,584,1.4K,['BREAKING']
ABC7 Eyewitness News,@ABC7,2021-08-13T03:36:22.000Z,#BREAKING: 16-year-old suspect arrested in fatal shooting of store employee outside Shoe Palace in Fairfax District,"16-year-old suspect arrested after Shoe Palace employee fatally shot outside Fairfax store
A 16-year-old suspect was arrested Thursday in the fatal shooting of a Shoe Palace employee in the Fairfax District, police said.
abc7.com",69,340,569,['BREAKING']
ABC7 Eyewitness News,@ABC7,2021-08-11T21:01:57.000Z,#BREAKING Owner of surf school in Santa Barbara is charged with murdering his 2 young children in Mexico,"Santa Barbara: Owner of surf school charged with murder of his 2 young children in Rosarito, Mexico
A Santa Barabara surf coach was charged Wednesday with taking his two young children to Rosarito, Mexico, and killing them, federal authorities said.
abc7.com",103,501,323,['BREAKING']
Dr. Amit Arya,@AmitAryaMD,2021-08-12T19:29:31.000Z,"#BREAKING:  The British Columbia government has just announced that ""everybody who works in LTC and assisted living be vaccinated."" 

Isn't it ridiculous that the Ontario government hasn't done this yet?

#LTCJustice",,72,474,3K,"['BREAKING', 'LTCJustice']"
CBS Los Angeles,@CBSLA,2021-08-11T19:05:10.000Z,"#BREAKING UPDATE: L.A. City Council unanimously approves moving forward with proposal that would require people to have at least one dose of the COVID-19 vaccine in order to enter most indoor public spaces, such as restaurants and gyms.","LA City Council To Debate Vaccine Proof For Entry To Indoor Spaces
It would require people to have at least one dose of the coronavirus vaccine in order to enter most indoor public spaces, such as restaurants, gyms, entertainment venues and even some retailers.
losangeles.cbslocal.com",62,120,324,['BREAKING']
Carla Marinucci,@cmarinucci,2021-08-13T00:09:31.000Z,"#Breaking: 
@JoeBiden
 just issued statement denoucing CA recall: “Gov Newsom is leading California through unprecedented crises. He is a key partner in fighting the pandemic and delivering economic relief to working families and helping us build our economy back better than ever.""",,49,312,1K,['Breaking']
AFP News Agency,@AFP,2021-08-11T17:55:42.000Z,#BREAKING Shell agrees to pay 95 mn euros to south Nigeria communities over 1970 spills: company,,9,155,238,['BREAKING']
AFP News Agency,@AFP,2021-08-12T18:09:01.000Z,#BREAKING WHO urges China to back sharing raw data on early Covid cases,,43,286,400,['BREAKING']
ABC7 Eyewitness News,@ABC7,2021-08-11T18:54:11.000Z,"#BREAKING 7.1-magnitude earthquake strikes off coast of Philippines, triggering threat of tsunami","7.1-magnitude earthquake strikes off coast of Philippines, triggering threat of tsunami
A preliminary magnitude-7.1 earthquake struck off the coast of the Philippines on Wednesday, according to the U.S. Geological Survey.
abc7.com",5,118,199,['BREAKING']
CBSDFW,@CBSDFW,2021-08-11T02:24:50.000Z,#BREAKING: Temporary Restraining Order Issued On Gov. Greg Abbott's Executive Order Banning Mask Mandates,"Temporary Restraining Order Issued On Gov. Greg Abbott's Executive Order Banning Mask Mandates
There was a hearing in Dallas Tuesday afternoon, and District Court Judge Tonya Parker made her ruling Tuesday night.
dfw.cbslocal.com",31,75,294,['BREAKING']
WSVN 7 News,@wsvn,2021-08-12T17:48:45.000Z,"#BREAKING: San Francisco to require proof of full vaccination against COVID-19 for indoor activities like restaurants, bars and gym. (via 
@AP
)",,46,140,550,['BREAKING']
WWL-TV,@WWLTV,2021-08-13T15:00:20.000Z,#BREAKING: French Quarter Fest has been canceled (again) due to rising COVID-19 cases.,,7,224,77,['BREAKING']
philip lewis,@Phil_Lewis_,2021-08-10T16:07:08.000Z,"#BREAKING: Andrew Cuomo is resigning  

""The best way I can help now is if I step aside""",,29,419,723,['BREAKING']
Travis Akers,@travisakers,2021-08-12T21:07:18.000Z,#BREAKING: Jamie Spears Agrees to Step Down as Conservator of Britney Spears,,125,618,4K,['BREAKING']
Breaking HaHa!,@BreakingHaHa,2021-08-11T06:16:56.000Z,#BREAKING Hulk spotted…,"From 
This is rare, but it happens",3,33,125,['BREAKING']
WSVN 7 News,@wsvn,2021-08-10T18:30:11.000Z,"#BREAKING: In a vote of 8-1, the Broward School Board has voted to keep their mask mandate for students in place.","Broward School Board votes to keep mask mandate in place
FORT LAUDERDALE, FLA. (WSVN) - The Broward County School Board has voted to keep their mask mandate for students in place for the upcoming school...
wsvn.com",64,290,1K,['BREAKING']
Manu Raju,@mkraju,2021-08-10T15:51:31.000Z,"#BREAKING -- The Senate gives final approval to a major $1.2 trillion infrastructure bill, capping months of arduous talks between the White House, Senate Democrats and Republicans. The vote was 69-30. 

The bill now goes to the House, where it won't be taken up until the fall",,84,694,2.2K,['BREAKING']
Kevz Politics,@KevzPolitics,2021-08-13T14:57:06.000Z,"#BREAKING - Over 70,000 doses of Pfizer vaccine arrive at Barbados' Grantley Adams International Airport; vaccines were donated by the US Government",,2,32,66,['BREAKING']
AFP News Agency,@AFP,2021-08-11T08:26:33.000Z,#BREAKING Briton arrested in Germany accused of spying for Russia: prosecutors,,12,161,206,['BREAKING']
AFP News Agency,@AFP,2021-08-10T17:21:19.000Z,#BREAKING Poland's ruling coalition crumbles as PM dismisses junior partner,,7,80,166,['BREAKING']
AFP News Agency,@AFP,2021-08-12T14:49:01.000Z,#BREAKING Taliban take over Herat police HQ in western Afghanistan,,47,281,411,['BREAKING']
AFP News Agency,@AFP,2021-08-12T21:46:51.000Z,"#BREAKING Taliban claim to capture Kandahar, Afghanistan's second-largest city",,104,680,785,['BREAKING']
Museums Victoria,@museumsvictoria,2021-08-11T03:32:55.000Z,#Breaking: Voting officially opens today to select Victoria’s State Fossil Emblem! ,"0:13
6.2K views",2,62,50,['Breaking']
Chan Ho-him,@ThomasHHChan,2021-08-10T08:41:14.000Z,"#BREAKING Hong Kong’s biggest educators’ union, the Professional Teachers’ Union, announced at a press conference that it would be disbanding after 48 years of history

President Fung Wai-wah cited “immense pressure” amid recent political and societal changes",,3,267,251,['BREAKING']
Election Wizard,@ElectionWiz,2021-08-12T21:20:08.000Z,"#BREAKING:  Justice Barrett denies emergency injunction request from Indiana Univ students challenging the school’s vaccine mandate. 

Barett could have referred the matter to the full Court, but acted alone and denied the request.",,393,1.2K,2.1K,['BREAKING']
680 NEWS Toronto,@680NEWS,2021-08-13T16:35:59.000Z,"#BREAKING: Canada's government says all of its federal public servants must be fully vaccinated against COVID-19.

Implementation is expected sometime this fall.","Canada's government announces mandatory vaccinations for federal public servants
Canada’s government announced Friday that it’s requiring all of its federal public servants to be fully vaccinated against COVID-19 moving forward. More details are to be worked out with stakeholde...
680news.com",4,12,44,['BREAKING']
AFP News Agency,@AFP,2021-08-10T19:37:45.000Z,"#BREAKING Joe Biden says he does 'not regret' Afghan pullout decision
#Afghanistan",,120,276,430,"['BREAKING', 'Afghanistan']"
AFP News Agency,@AFP,2021-08-10T19:41:59.000Z,"#BREAKING Biden says Afghan leaders must 'come together,' 'fight for themselves'",,59,226,232,['BREAKING']
CP24,@CP24,2021-08-12T14:21:20.000Z,#BREAKING: Ontario reports 513 new COVID-19 cases; highest single-day tally in 2 months,"Ontario reports 513 new COVID-19 cases; highest single-day tally in 2 months
Ontario is reporting 513 new COVID-19 cases on Thursday, surpassing 500 daily infections for the first time since mid-June.
cp24.com",350,623,719,['BREAKING']
Megh Updates,@MeghUpdates,2021-08-12T15:03:46.000Z,#BREAKING: Taliban take over Herat police HQ in western Afghanistan,,40,327,2.1K,['BREAKING']
Australian Media,@aus_media,2021-08-11T00:17:16.000Z,"#BREAKING: Payout for defamatory tweet by high-profile ABC reporter Louise Milligan consists of $79,000 in damages, and around $50,000 in Dr Laming’s legal fees.","Milligan tweet costs ABC $130K in Laming settlement
A defamatory tweet posted by high-profile ABC reporter Louise Milligan — which irrevocably damaged the reputation of federal Liberal MP Andrew Laming — will cost the taxpayer more than 130,000 in...
theaustralian.com.au",109,102,156,['BREAKING']
Kevz Politics,@KevzPolitics,2021-08-10T00:16:16.000Z,"#BREAKING - Jamaica tightens COVID-19 measures starting from Wednesday; national curfew will now be imposed from 7PM-5AM on weekdays, 6PM-5AM on Saturdays & 2PM-5AM on Sundays; this will last for 3 weeks",,7,409,139,['BREAKING']
AFP News Agency,@AFP,2021-08-12T18:08:33.000Z,#BREAKING: US to send troops to Kabul airport to pull out embassy staff: State Dept,,91,735,862,['BREAKING']
AFP News Agency,@AFP,2021-08-12T10:35:59.000Z,"#BREAKING More than 100,000 hectares burned in Greek fires: EU data",,6,97,123,['BREAKING']
Toronto Star,@TorontoStar,2021-08-11T20:03:39.000Z,#Breaking: Federal government to roll out vaccine passports for foreign travel,"Today's coronavirus news: Federal government rolling out vaccine passports for foreign travel;...
Meanwhile, The Quebec government says students returning to school in the coming weeks will be required to wear a procedural mask but not in the class...
thestar.com",25,67,135,['Breaking']
AFP News Agency,@AFP,2021-08-12T18:57:20.000Z,"#BREAKING Pentagon says will send 3,000 troops to Afghanistan to help US officials leave",,52,321,344,['BREAKING']
AUBRY KILLION,@AubryKWDSU,2021-08-13T15:00:06.000Z," #BREAKING FRENCH QUARTER FEST ANNOUNCES CANCELLATION 
@WDSU",,4,43,13,['BREAKING']
Kevz Politics,@KevzPolitics,2021-08-11T12:15:53.000Z,#BREAKING - NHC gives disturbance in the Central Atlantic a 40% chance for development in 5 days; a tropical depression could form by early next week; could reach Leewards by late Saturday,,,46,33,['BREAKING']
ABC7 Eyewitness News,@ABC7,2021-08-11T21:10:34.000Z,"#BREAKING 1 person shot at Shoe Palace store in Fairfax district, suspect remains outstanding","1 person shot at Shoe Palace store in Fairfax district
One person was shot at the Shoe Palace store in the Fairfax district Wednesday, police said.
abc7.com",13,94,83,['BREAKING']
SDPI,@sdpofindia,2021-08-10T18:54:04.000Z,"ELECTRICITY AMENDMENT BILL 2021: ANOTHER NAIL ON THE COFFIN OF FEDERALISM – SDPI
#BREAKING #electricitybill 
@AbdulMajeedSDPI",,,105,198,"['BREAKING', 'electricitybill']"
The RAGEX,@theragex,2021-08-11T18:13:37.000Z,"#Breaking: Tsunami ALERT for Philippines after 7.2 magnitude earthquake hits the coast of Mindanao.
#Philippines",,2,210,296,"['Breaking', 'Philippines']"
Aditya Raj Kaul,@AdityaRajKaul,2021-08-12T16:34:23.000Z,"#BREAKING: Afghanistan’s third-largest city - Herat, which was once known as the Pearl of Khorasan, has reportedly fallen to the Taliban. Taliban now holds 11 of the 34 provincial capitals in the conflict-torn country.",,46,311,1.3K,['BREAKING']
