username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
TBB Sosyal Tesisleri,@tbbsosyaltesis,2021-08-08T14:41:40.000Z,"Sağlık varsa mutluluk da vardır.

Faydalı bilgiler köşemizde bugün ""Enginar"" var.

#sağlıklıyaşam",,,,,['sağlıklıyaşam']
Lokman Ecza Deposu,@LokmanEcza,2021-08-06T06:03:22.000Z,"#GününÖnerisi 

Bolca sıvı kaybettiğimiz bu günlerde sağlıklı sıvı miktarını yakalamak için günde en az 8 bardak su tüketmeliyiz.  
.
.
#LokmanEczaDeposu #LokmanEcza #TamZamanında #Eczane #Eczacı #eczacılık #eczacım #Antalya #Türkiye #Spor #SağlıklıYaşam #su #water",,,1,5,"['GününÖnerisi', 'LokmanEczaDeposu', 'LokmanEcza', 'TamZamanında', 'Eczane', 'Eczacı', 'eczacılık', 'eczacım', 'Antalya', 'Türkiye', 'Spor', 'SağlıklıYaşam', 'su', 'water']"
Dr.Ersin Arslan EAH Gaziantep,@ErsinEah,2021-08-13T06:07:04.000Z,"Aşırı sıcaklarda mecbur kalmadıkça dışarı çıkmayın.
Aşırı Sıcaklardan En Çok Etkilenen Kişiler
- Kronik hastalığı olanlar
- 65 ve üstü yaştakiler
- Dört yaşından küçük çocuklar
- Obeziteden etkilenenler
- Gebeler
#Ağustos #sağlık #saglikliyasam",,,,6,"['Ağustos', 'sağlık', 'saglikliyasam']"
Sevde Sena,@ssylmz28,2021-08-10T20:53:12.000Z,Adım adım #sağlıklıyaşam,"Prof Dr Güner Sönmez
@DrGunerSonmez
 · Dec 17, 2020
Kahveyi severek içiyoruz; faydalarını bilseydiniz daha çok severdiniz. 

#Kahve ; Enerjinizi arttırır, mutluluk verir, şeker hastalığından korur, zayıflatır, Alzheimer ve demans riskini azaltır.

Karaciğerinizi korur. Hatta kalın bağırsak ve karaciğer kanseri riskini azaltır.
Show this thread",,,4,['sağlıklıyaşam']
alara,@444alara,2021-08-07T18:25:52.000Z,"Replying to 
@kuzenimyazdi",#saglikliyasam,,,1,[]
Gezer,@Gezer_Ayakkabi,2021-08-07T18:22:34.000Z,"İnsanın bütün ağırlığının baskısına gün boyu maruz kalan ve dış etkenlerle fazlaca etkileşime giren ayakların sağlığı ve bakımı insan sağlığı için büyük önem taşımaktadır.

#AyakBakımı #SağlıklıAyaklar #gezer #Sağlık #Terlik #Ayakkabı  #saglikliyasam  #GezersenBilirsin",,,2,4,"['AyakBakımı', 'SağlıklıAyaklar', 'gezer', 'Sağlık', 'Terlik', 'Ayakkabı', 'saglikliyasam', 'GezersenBilirsin']"
✮llıı 𝓚𝓪𝓿𝓲𝓷 𝓲𝓷𝓬𝓲 𝓖𝓮𝓬𝓴𝓲𝓵 ııll✮,@inci_kitap63,2021-08-07T10:23:20.000Z,"#siberianwellness
#sağlıklıyaşam
#Kavinincigeçkil

 Detaylı bilgi için #dm ulaşabilirsiniz.",,,14,274,"['siberianwellness', 'sağlıklıyaşam', 'Kavinincigeçkil', 'dm']"
Mora Türkiye,@MoraTurkiye,2021-08-08T18:41:57.000Z,"Sağlıktan büyük zenginlik yoktur.
- Ralph Waldo Emerson

#sağlıklıyaşam",,,1,1,['sağlıklıyaşam']
Beypazarı Doğal Maden Suyu,@bypzrimadensuyu,2021-08-11T06:10:24.000Z,"Türkiye’nin lider maden suyu markası olarak, tam 64 yıldır doğanın mucizesi maden suyumuzu aynı kaynaktan, değişmeyen tadıyla sizlerle buluşturmanın mutluluğunu yaşıyoruz

#beypazarımadensuyu #madensuyubeypazarıdır #madensuyu #mineral #sağlıklıbeslenme #sağlıklıyaşam #beslenme",,,,11,"['beypazarımadensuyu', 'madensuyubeypazarıdır', 'madensuyu', 'mineral', 'sağlıklıbeslenme', 'sağlıklıyaşam', 'beslenme']"
NBL Türkiye,@nblturkiye,2021-08-11T10:22:07.000Z,"Sıcak havalarda su içmeyi ertelemeyin! Az su tüketimi baş ağrısı, kas krampları gibi problemlere neden olabilir. Bu nedenle su içmek için susamayı beklemeyin. Eğer gün içinde su içmek aklınıza gelmiyorsa su içmeyi hatırlatan uygulamalardan faydalanabilirsiniz.",,1,,,[]
NBL Türkiye,@nblturkiye,2021-08-11T10:22:07.000Z,Günlük içilmesi gereken su miktarı kişiden kişiye değişse de uzmanlar günde ortalama 8-10 bardak su içilmesini tavsiye ediyor. #Tavsiye #SağlıklıYaşam,,,,,"['Tavsiye', 'SağlıklıYaşam']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-08T08:28:13.000Z,"Mutlu pazarlarınız olsun sevgili dostlar, yüzünüzden gülücükler eksik olmasın 
.
.
.
.
.
.
.
#motivasyon #mutluluk #huzur #istanbul #doktor #sağlık #mucizedoktor #sağlıklıyaşam #pazar",,,,2,"['motivasyon', 'mutluluk', 'huzur', 'istanbul', 'doktor', 'sağlık', 'mucizedoktor', 'sağlıklıyaşam', 'pazar']"
Simge Koçak,@Simgee_19033,2021-08-05T19:49:55.000Z,#sağlıklıyaşam ,"0:10
18 views",,,,['sağlıklıyaşam']
Sabahattin Karaz,@SabahattinKaraz,2021-08-05T19:41:52.000Z,#sağlıklıyaşam,,,,,['sağlıklıyaşam']
Sabahattin Karaz,@SabahattinKaraz,2021-08-05T19:46:07.000Z,#sağlıklıyaşam,,,,,['sağlıklıyaşam']
Gkç,@Gokcepach,2021-08-07T19:49:32.000Z,Bugün 3 ay aradan sonra süper büyük boy bir hamburger ve yarım kadeh şarap içtim. Acaip mutluyum lan. #diyet #sağlıklıyaşam #rejim #sağlık #diet,,,,8,"['diyet', 'sağlıklıyaşam', 'rejim', 'sağlık', 'diet']"
PİRGE 1879,@BicaginUstasi,2021-08-06T18:30:00.000Z,"Sıcak havaları çok seven kavun, mayıstan ağustosa kadar yaz aylarında hasat edilebilmektedir. Damar tıkanıklığını önleyerek kan dolaşımına yardımcı olur, kalp krizi riskini azaltır.

#sağlıklıbeslenme #sağlıklıyaşam #Pirgeilesağlıklıbeslen",,,,2,"['sağlıklıbeslenme', 'sağlıklıyaşam', 'Pirgeilesağlıklıbeslen']"
Ayşe (Beyhan Pazarcık) Bronz öncü,@aysemle_ersag,2021-08-11T17:26:11.000Z,"Ersağ gıda takviyeleri doğadan hizmetinize.
Sende doğal destek ver kendine. 
#doğalürünler
#sağlıklıyaşam
#tarımbakanlığı
#gbbsonaylı
#helalsertifikalı
#bağışıklıkgüçlendirici
#probiyotik
#bilgiiçinmesajatın
#keşfetteyizzz #beniöneçıkart",,,,4,"['doğalürünler', 'sağlıklıyaşam', 'tarımbakanlığı', 'gbbsonaylı', 'helalsertifikalı', 'bağışıklıkgüçlendirici', 'probiyotik', 'bilgiiçinmesajatın', 'keşfetteyizzz', 'beniöneçıkart']"
Yeşim Tekstil,@YesimTekstil,2021-08-09T06:54:50.000Z,"Pozitif ve Sağlıklı Yaşam Kulübümüz diyor ki:
“İnsan ne düşlerse o zaten gerçekleşmiş demektir. Sadece görünebilir olması biraz zaman alır.”
 Stefano d’Anna

#iyihaftalar #pozitif #Yeşim #sağlıklıyaşam",,,,3,"['iyihaftalar', 'pozitif', 'Yeşim', 'sağlıklıyaşam']"
yasemin,@ttyaseminb,2021-08-13T10:10:10.000Z,"Eee hani?  

#sağlıklıyaşam
#spor
#Zayıflayamayanlar",,,,,"['sağlıklıyaşam', 'spor', 'Zayıflayamayanlar']"
Gezer,@Gezer_Ayakkabi,2021-08-13T13:07:09.000Z,"Ortak alanlarda ayaklarınızı koruyun.

#saglikliyasam #SağlıklıHayat #AyakBakımı #footcare #gezer #terlik #ayakkabı #yerli #HerAdımdaMutluluk #SağlıklıAdımlar",,,,,"['saglikliyasam', 'SağlıklıHayat', 'AyakBakımı', 'footcare', 'gezer', 'terlik', 'ayakkabı', 'yerli', 'HerAdımdaMutluluk', 'SağlıklıAdımlar']"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-08-11T07:09:07.000Z,"Günaydın sevgili dostlar  dünümüz, bugünümüz, gecemiz ve gündüzümüz hep sizinle  sizlerin sağlığı için durdurak bilmeden çalışmaya devam ediyoruz 
.
.
.
.
.
.
.
.
.
.
#mucizedoktor #mutluluk #sağlıklıyaşam #motivasyon #huzur #istanbul #doktor #sağlık #aşk #söz",,,,,"['mucizedoktor', 'mutluluk', 'sağlıklıyaşam', 'motivasyon', 'huzur', 'istanbul', 'doktor', 'sağlık', 'aşk', 'söz']"
Güngören Hastanesi,@gungorenhastane,2021-08-09T13:30:18.000Z,"Yüksek oranda vitamin ve besin alabilmek için meyve ve sebzeleri mevsiminde tüketmek önemli. Biz de ağustos ayında yetişen meyveleri sizin için derledik, sağlıklı günler dileriz. 

#sağlıklıyaşam #güngörenhastanesi #ağustos #meyve #organik #mevsim #doğa #ağaç",,,1,1,"['sağlıklıyaşam', 'güngörenhastanesi', 'ağustos', 'meyve', 'organik', 'mevsim', 'doğa', 'ağaç']"
Dr Aybanu Gökçen,@AybanuDr,2021-08-07T06:56:48.000Z,#dikkat #dolandırıcılık #önemli #skleroterapi #varisyarası #venözülser #slimkateter #lazerlevarisameliyatı #varistedavisi #varisçorabı #sağlıklıyasam #kisiyeözelvaristedavisi #estetik #sağlıklıbacaklar #draybanugokcen #istanbulvenklinik #flebolog #sağlıklıyiyecekler #damarsağlığı,,,,1,"['dikkat', 'dolandırıcılık', 'önemli', 'skleroterapi', 'varisyarası', 'venözülser', 'slimkateter', 'lazerlevarisameliyatı', 'varistedavisi', 'varisçorabı', 'sağlıklıyasam', 'kisiyeözelvaristedavisi', 'estetik', 'sağlıklıbacaklar', 'draybanugokcen', 'istanbulvenklinik', 'flebolog', 'sağlıklıyiyecekler', 'damarsağlığı']"
Sabahattin Karaz,@SabahattinKaraz,2021-08-06T14:41:01.000Z,"Kilo, başta kalp-damar hastalıkları olmak üzere birçok problemin kaynağıdır. Bu yüzden beslenme düzeni oluşturmak ve metabolizmayı hızlandırmak sağlıklı yaşam adına çok önemlidir..
#kilokontrol #sağlıklıyaşam",,,,,"['kilokontrol', 'sağlıklıyaşam']"
Orucoglu Thermal Resort,@OrucogluThermal,2021-08-05T08:00:05.000Z,"Bahçemizdeki özel kabanada spa deneyimi yaşayabileceğiniz ayrıcalıklı bir tatile davetlisiniz. 

#gizemlişehirafyon #oruçoğlutermal #termaloteller #termalotel #kaplıca #sağlıklıyaşam #afyon #tatil #yuzdeyuztermal #thermal #thermalbaths",,,,,"['gizemlişehirafyon', 'oruçoğlutermal', 'termaloteller', 'termalotel', 'kaplıca', 'sağlıklıyaşam', 'afyon', 'tatil', 'yuzdeyuztermal', 'thermal', 'thermalbaths']"
Kalbinden Mesaj Var,@kalbindenmesaj,2021-08-09T17:15:09.000Z,"Yaşadığınız göğüs ağrınız, birkaç dakikadan daha uzun sürüyorsa, dinlenmenize ya da medikal tedavi almanıza rağmen geçmiyorsa, hemen acil bir tıbbi yardım almalısınız. 

https://saglik.org.tr/makale-haber/anjin-anjina-pektoris-nedir-gogus-agrisi-neden-olur… (erişim tarihi 7 temmuz)

#KalbindenMesajVar #Anjina #Sağlık #SağlıklıYaşam #Kalp",,,,3,"['KalbindenMesajVar', 'Anjina', 'Sağlık', 'SağlıklıYaşam', 'Kalp']"
