username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
Yıldız Özkan Terziog,@YTerziog,2021-07-26T09:19:20.000Z,"The individual transcends their mind by constantly focusing on their spiritual essence.
Akif Manaf 
#yoga #yogaeskişehir #eskişehir #yogaacademyeskisehir #sağlık #nefesteknikleri #mutluluk #farkındalık #yogagirl #yogalove #yogaphilosophy  #consciousawakening #yogaeverywhere",,,1,2,"[""['yoga', 'yogaeskişehir', 'eskişehir', 'yogaacademyeskisehir', 'sağlık', 'nefesteknikleri', 'mutluluk', 'farkındalık', 'yogagirl', 'yogalove', 'yogaphilosophy', 'consciousawakening', 'yogaeverywhere']""]"
Emrullah BOZDEMİR,@EmrullahBOZDE11,2021-07-26T09:49:00.000Z,"Başarıyla yürütülen #aşı programı kapsamında #Covid19 2.doz aşımı oldum.Salgının başından beri gösterdikleri fedakarlık için tüm #sağlık çalışanlarımıza teşekkür eder,
bir an önce bu illetten kurtulmak İçin sırası gelen tüm vatandaşlarımızın aşı olmalarını tavsiye ediyorum.",,,,5,"[""['aşı', 'Covid19', 'sağlık']""]"
Gaye Sigorta,@gayesigorta,2021-08-01T18:00:40.000Z,"Sağlık Sigortanızını Yapalım Dilediğiniz Hastaneden Hizmet Alın. 

#Sağlık #SağlıkSigortası #Hastane #Tedavi #GayeSigorta",,,1,2,"[""['Sağlık', 'SağlıkSigortası', 'Hastane', 'Tedavi', 'GayeSigorta']""]"
Doğru Cevap Okulları,@dogrucevapk12,2021-07-27T10:10:11.000Z,"7D Eğitim Kimliğimizin bir parçası olan ""Sağlıklı Gelişim"" çerçevesinde öğrencilerimizin zihinsel, fiziksel, sosyal, duygusal ve ahlaki gelişimlerindeki dengeye önem veriyoruz.
#doğru #cevap #eğitim #kurs #okul #sağlık",,,,2,"[""['doğru', 'cevap', 'eğitim', 'kurs', 'okul', 'sağlık']""]"
Ahmet Poyraz,@AhmetPo22319013,2021-07-28T20:48:40.000Z,"Değerli kardeşim Esenyurt ilçe sağlık müdürü Dr Oktay dokuz'u makamında ziyaret ettim pandemi sürecinde göstermiş oldukları üstün başarılardan dolayı tebrik ettim
#saglik #doktor",,,1,10,"[""['saglik', 'doktor']""]"
Çankırı İl Kültür ve Turizm Müdürlüğü,@cankiri_iktm,2021-07-31T05:50:39.000Z,"Astım, bronşit, akciğer hastalıklarının tedavisinde kullanılıyor.

Çankırı'da Hititler döneminden bu yana tuz elde edilen mağaranın, sağlık ve turizm merkezi haline getirilmesi planlanıyor.
#cankiri #çankırı  #tuzmağarası #saltcave #sağlık #health #cankirikulturturizm 
@trthaber","1:10
787 views",1,15,28,"[""['cankiri', 'çankırı', 'tuzmağarası', 'saltcave', 'sağlık', 'health', 'cankirikulturturizm']""]"
Tc Yavuz Sert,@KaptanYavuz5,2021-07-25T15:35:10.000Z,"Huzur #Sağlık Dolu Akşamlar
#ATA Canlar ",,,1,2,"[""['Sağlık', 'ATA']""]"
F. Anjel Sürmeli,@anjelique_s,2021-07-26T04:58:35.000Z,"Günaydın 
Şekerli çay içmiyorsanız, 1 kutu meyve suyu da içmeyeceksiniz
#BuSabah
#keşfet
#reels
#diyetisyen
#yemek
#fit
#fitness
#beslenme
#diyet
#diet
#pazartesi
#günaydın
#sağlık
#yemebozukluğu
#kiloverme
#zayıflama
#su
#holistikbeslenme
#holistic",,,,3,"[""['BuSabah', 'keşfet', 'reels', 'diyetisyen', 'yemek', 'fit', 'fitness', 'beslenme', 'diyet', 'diet', 'pazartesi', 'günaydın', 'sağlık', 'yemebozukluğu', 'kiloverme', 'zayıflama', 'su', 'holistikbeslenme', 'holistic']""]"
Beykent Üniversitesi Hastanesi,@BeykentHastane,2021-08-01T18:03:16.000Z,"Uzm. Dr. Fatma Erdem, Hastanemiz Kardiyoloji Bölümünde hasta kabulüne başlamıştır.

#BeykentÜniversitesiHastanesi #Kardiyoloji #Hastane #Sağlık #Beykent",,,2,3,"[""['BeykentÜniversitesiHastanesi', 'Kardiyoloji', 'Hastane', 'Sağlık', 'Beykent']""]"
Çubuk Belediyesi,@cubukbelediyesi,2021-07-30T07:47:49.000Z,Belediyemiz #Sağlık İşleri Müdürlüğü ekiplerince ilçemizin park ve bahçelerini haşereyle mücadele kapsamında ilaçlayarak #dezenfekte ediliyor.,,1,4,14,"[""['Sağlık', 'dezenfekte']""]"
Çubuk Belediyesi,@cubukbelediyesi,2021-07-30T07:47:50.000Z,"Ekiplerimiz 7/24 sineksiz bir yaz dönemi geçirmek için mücadeleye devam ediyor. 

#Çubuk #Ankara #ÇubukBelediyesi #Sağlık #Haşere #Mücadele",,,3,7,"[""['Çubuk', 'Ankara', 'ÇubukBelediyesi', 'Sağlık', 'Haşere', 'Mücadele']""]"
Yaşam Hastanesi,@yasamtekirdag,2021-07-26T05:38:38.000Z,"Hashimato (Haşimato) Tiroidi nedir?

#saglik #haşimatotiroidi #tekirdağ",,,,,"[""['saglik', 'haşimatotiroidi', 'tekirdağ']""]"
Hayata Cam Kat,@HayataCamKat,2021-07-27T07:37:24.000Z,"Hava koşullarından etkilenmeyen ve içerisindeki ürünle etkileşime girmediği için tadını değiştirmeyen cam ambalajları gönül rahatlığıyla kullanabilir, ürünlerinizi sağlıklı bir şekilde saklayabilirsiniz.
#HayataCamKat #camambalaj #sağlık #çevre #doğa",,,,2,"[""['HayataCamKat', 'camambalaj', 'sağlık', 'çevre', 'doğa']""]"
masor Toprak,@masor_toprak,2021-07-25T15:44:48.000Z,#fıtık #siyatikağrısı #belağrısı #skolyoz #fiziktedavi  #manuelterapi   #masajsalonu #masajistanbul #masajes #terapist   #huzur #sağlık #terapi #fizyoterapist #fizyoterapi #masörtoprak #masör_toprak #masortoprak,,,,2,"[""['fıtık', 'siyatikağrısı', 'belağrısı', 'skolyoz', 'fiziktedavi', 'manuelterapi', 'masajsalonu', 'masajistanbul', 'masajes', 'terapist', 'huzur', 'sağlık', 'terapi', 'fizyoterapist', 'fizyoterapi', 'masörtoprak', 'masör_toprak', 'masortoprak']""]"
sibel kocyigit,@piraysultan,2021-08-01T17:47:03.000Z,#Sağlık emekçileri başta olmak üzere; Vedalaşma şansı bulamadığımız sevdikleriniz/ yakınlarımız için vedalaşma şansı...,"Ölen Yakınlarımız/Sevdiklerinizle Vedalaşma.#ölüm#Veda#Sevdiklerimiz
Hepimiz her zaman kaybettiğimiz sevdiklerinizle vedalaşma şansı bulamayabiliriz.Peki vedalaşmak mümkün olabilir mi? Denemeye değer.Veda her zaman mümkün.
youtube.com",,,1,"[""['Sağlık']""]"
Urfadan Haber,@urfadanhabercom,2021-08-01T07:43:00.000Z,"TESK'ten aşı genelgesi https://urfadanhaber.com/haber/tesk-ten-asi-genelgesi.html… 
#Şanlıurfa #Pazar #Sağlık","Tesk'ten aşı genelgesi
TESK tarafından aşı konusunda toplumsal duyarlılık oluşturulması ve iş yerlerinde aşısız eleman çalıştırılmaması için tüm teşkilata yeni bir genelge gönderildi.
urfadanhaber.com",,,1,"[""['Şanlıurfa', 'Pazar', 'Sağlık']""]"
İslambol TV,@islamboltv,2021-07-31T13:20:03.000Z," SON DAKİKA | Bakan Koca'dan Aşı Açıklaması

#koronavirüs #covid #sağlık #bakankoca #fahrettinkoca  #İslambolHaber #SonDakika #sondakikahaberler",,,,1,"[""['koronavirüs', 'covid', 'sağlık', 'bakankoca', 'fahrettinkoca', 'İslambolHaber', 'SonDakika', 'sondakikahaberler']""]"
MISRA NUR,@MISRANUR11,2021-07-26T17:31:24.000Z,"Vaka Sayısı 16,809 
Vefat Sayısı 63 
İyileşen Sayısı 5,585 
Lütfen Tedbirleri Elden Bırakmayın Aşı Olalım Lütfen  #Sağlık #AşıOlİzmir #AşıOlTürkiye",,2,1,4,"[""['Sağlık', 'AşıOlİzmir', 'AşıOlTürkiye']""]"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-28T07:00:38.000Z,"TDB 18. DÖNEM MERKEZ YÖNETİM KURULU`NUN GÖREV DAĞILIMI BELLİ OLDU
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3826…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,2,8,"[""['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']""]"
Yeni Mesaj Gazetesi,@yenimesaj,2021-07-31T21:32:47.000Z,"Dr. Ali Konukseven yazdı:

Zikir yapıldığında yani aynı kelimeler söylendiğinde beyinde konsantrasyon artar ve bununla birlikte beyin faaliyetleri hızlanır. 

https://yenimesaj.com.tr/zikir-sifadir-H1401620.htm…

#sağlık #pazar","Dr. Ali Konukseven: Zikir şifadır
yenimesaj.com.tr",,,8,"[""['sağlık', 'pazar']""]"
İyilik Saglik Derneği,@iyiliksaglikder,2021-07-30T18:48:06.000Z,#iyilik #sağlık #mali’ye #uçuyor,,,,1,"[""['iyilik', 'sağlık', 'mali', 'uçuyor']""]"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-29T10:23:06.000Z,"AŞILANIN HAYATA GÜVENLE KATILIN!
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3832…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,8,11,"[""['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']""]"
Türk Dişhekimleri Birliği,@TDB_TDA,2021-07-28T07:33:56.000Z,"TDB 18. DÖNEM MERKEZ DENETLEME KURULU’NUN GÖREV DAĞILIMI BELLİ OLDU
Haberin detayı için: http://tdb.org.tr/icerik_goster.php?Id=3827…

#turkdishekimleribirligi #türkdişhekimleribirliği #diş #sağlık #dişhekimi #tdbhaber",,,2,2,"[""['turkdishekimleribirligi', 'türkdişhekimleribirliği', 'diş', 'sağlık', 'dişhekimi', 'tdbhaber']""]"
uzaylı,@uzayliibirii,2021-07-27T01:16:52.000Z,"____//_____//_______///
 #HAYIRLISABAHLAR 
          ____//_____//_______///
 #GÜNAYDIN  
          ____//_____//_______///
 #guenaydın  #huzur #umut
          ____//_____//_______///
 #gunaydin  #sağlık #neşe
          ____//_____//_______///
#mutluluk","1:26
22 views",,1,7,"[""['HAYIRLISABAHLAR', 'GÜNAYDIN', 'guenaydın', 'huzur', 'umut', 'gunaydin', 'sağlık', 'neşe', 'mutluluk']""]"
Gano Excel,@GanoExcel68100,2021-07-30T15:01:21.000Z,Malezyadan gelen çeşitli aromalardaki kahvelerimiz için DM’deyiz. #gano #kahve #sabun #sağlık #keyif,,,1,1,"[""['gano', 'kahve', 'sabun', 'sağlık', 'keyif']""]"
Op. Dr. Fatih Kırar,@drfatihkirar,2021-07-31T10:17:41.000Z,"Ameliyatsız mutluluk 
.
.
.
.
.
.
.
#istanbul #doktor #sağlık #tv #haber #ülke #omurga",,,,1,"[""['istanbul', 'doktor', 'sağlık', 'tv', 'haber', 'ülke', 'omurga']""]"
Urfadan Haber,@urfadanhabercom,2021-07-28T07:08:53.000Z,"Deveci: “tez zamanda önlem alalım” https://urfadanhaber.com/haber/deveci-tez-zamanda-onlem-alalim.html… 
#Şanlıurfa #Çarşamba #Sağlık","Deveci: “tez zamanda önlem alalım”
AK Parti Bozova İlçe Başkanı Süleyman Deveci, son zamanlarda Şanlıurfa’da artan boğulma vakalarıyla ilgili yaptığı açıklamada, “Tez zamanda önlemler alalım, aileler yok olmasın” dedi.
urfadanhaber.com",,,,"[""['Şanlıurfa', 'Çarşamba', 'Sağlık']""]"
e_srpl,@e_srpl,2021-07-28T05:26:11.000Z,"Yeminimiz var hayat ne kadar inatlaşırsan inatlaş, yine de seni en güzel yerinden yakalayacağız...
#NazımHikmet

Diren Uykum 

#Günaydın
#Çarşamba 
#BuSabah 
#sağlık #huzur #mutluluk #bereketbolluk #mucize #aşk #para",,5,4,78,"[""['NazımHikmet', 'Günaydın', 'Çarşamba', 'BuSabah', 'sağlık', 'huzur', 'mutluluk', 'bereketbolluk', 'mucize', 'aşk', 'para']""]"
Şişli Etfal Dayanışması,@EtfalSmas,2021-07-31T12:57:29.000Z,""" agaç görmüş yakmışlar, kanat görmüş kırmışlar.
simdi de düşmüşler insan izine,
nerde insan, nerde ışık vurmuşlar... hasan huseyin
#saglikhakkimadokunma
#sağlik #insan #yangin #rant #yikim #etfal 
#ağacbayramı 
#YangınUcağıNEREDE 
#sağlıkbakanlığı",,,3,8,"[""['saglikhakkimadokunma', 'sağlik', 'insan', 'yangin', 'rant', 'yikim', 'etfal', 'ağacbayramı', 'YangınUcağıNEREDE', 'sağlıkbakanlığı']""]"
Türk Karaciğer Araştırmaları Derneği,@tkadorg,2021-07-31T06:32:20.000Z,"Prof. Dr. Dinç Dinçer ve Prof. Dr. Ramazan İdilman hocalarımızdan ""Hepatit"" hakkında önemli bilgiler!

Farkında ol! Test yaptır! Tedavi ol!

#sağlık #hepatit #karaciğer #WorldHepatitisDay2021",,,1,4,"[""['sağlık', 'hepatit', 'karaciğer', 'WorldHepatitisDay2021']""]"
Urfadan Haber,@urfadanhabercom,2021-07-26T09:30:25.000Z,3 Aylık yaşam mücadelesini kaybetti https://urfadanhaber.com/haber/3-aylik-yasam-mucadelesini-kaybetti.html… #Şanlıurfa #Pazartesi #Sağlık,"3 aylık yaşam mücadelesini kaybetti
Şanlıurfa’da elektrik akımına kapılması sonucu ağır yaralanarak 3 aydır yoğun bakımda tedavi gören İsmail Altın, yaşam mücadelesini kaybetti.
urfadanhaber.com",,,,"[""['Şanlıurfa', 'Pazartesi', 'Sağlık']""]"
Urfadan Haber,@urfadanhabercom,2021-07-31T08:32:48.000Z,"Opti̇syen - Gözlükçüler odasında genel kurul toplantısı https://urfadanhaber.com/haber/optisyen-gozlukculer-odasinda-genel-kurul-toplantisi-4729.html… 
#Şanlıurfa #Cumartesi #Sağlık","Opti̇syen - gözlükçüler odasinda genel kurul toplantisi
XIX. BÖLGE GÜNEYDOĞU OPTİSYEN - GÖZLÜKÇÜLER ODASI 2. Genel Kurulu Toplantısı Başladı. Toplantı Şanlıurfa Ticaret Odasında düzenlendi.
urfadanhaber.com",,,,"[""['Şanlıurfa', 'Cumartesi', 'Sağlık']""]"
MlkAkyl,@melikeakyl07,2021-08-01T16:28:55.000Z,"Memlekette 3 sistem gerçekten bitmiş
#egitim 
#sağlık 
#güvenlik 
Her geçen gün hepsiyle sınanıyoruz
#türkiyeayağakalk",,,,,"[""['egitim', 'sağlık', 'güvenlik', 'türkiyeayağakalk']""]"
gaye haracci,@mediacat25,2021-07-26T14:00:49.000Z,"#Akrep Burcu #Biden #Sağlık Sorunları Yüzünden Görevden Alınabilir! 03 - 06 Temmuzda Biden'ın Tr #Venüs, #Mars ve #Satürnden olumsuz etkiler aldığından Sağlık sorunlarına dikkat çekmiştik günler ve hatta aylar önce #NFT'sini bile yapmıştık.
https://cutt.ly/CQrdyFB",,,1,6,"[""['Akrep', 'Biden', 'Sağlık', 'Venüs', 'Mars', 'Satürnden', 'NFT']""]"
Korkma Ye Zayıfla,@kisiselkoc50,2021-07-31T04:41:48.000Z,"Sabah
#iletişim05425467850 #kormayesagliklizayifla #diyet #diyetteyiz #sport #keşfet #fitness #kiloverme #başarı #motivasyon #sağlık #günaydın #türkiye #sagliklibeslenme #istanbul #bestoftheday #mutluluk #hedef #kişiselgelişim #beslenme #vizyon #instagram #facebook #cumartesi",,,,1,"[""['iletişim05425467850', 'kormayesagliklizayifla', 'diyet', 'diyetteyiz', 'sport', 'keşfet', 'fitness', 'kiloverme', 'başarı', 'motivasyon', 'sağlık', 'günaydın', 'türkiye', 'sagliklibeslenme', 'istanbul', 'bestoftheday', 'mutluluk', 'hedef', 'kişiselgelişim', 'beslenme', 'vizyon', 'instagram', 'facebook', 'cumartesi']""]"
Mustafa ERPOLAT,@MustafaERPOLAT,2021-07-31T07:19:18.000Z,"COVİD-19 aşımızı olalım, kendimizi ve sevdiklerimizi koruyalım.
 #covid #aşıolalım #sağlık #covid19",,,,,"[""['covid', 'aşıolalım', 'sağlık', 'covid19']""]"
TRT Kurdî Türkçe,@trtkurditurkce,2021-08-01T16:00:01.000Z,"Edibe Boğa'nın sunduğu #Sağlık programı #HeyatûSihet'te Prof. Dr. Halit Demir koruyucu hekimlik ve bitki kürleri ile ilgili önemli bilgiler veriyor.

Sağlıklı Hayat (Heyat û Sihet) yeni bölümleri ile çok yakında 
@TRTKurdiTV
'de.",,,,,"[""['Sağlık', 'HeyatûSihet']""]"
Özdemir şubesi sigorta yelpazesi,@Ozdemirsubesi,2021-07-30T15:48:02.000Z,Bizden teklif almadan lütfen sigorta yaptırmayınız! #kasko #dask #sağlık #trafik #isyeri #konut #ferdikaza #bes #Gaziantep #Sahinbey #sehitkamil,,,,1,"[""['kasko', 'dask', 'sağlık', 'trafik', 'isyeri', 'konut', 'ferdikaza', 'bes', 'Gaziantep', 'Sahinbey', 'sehitkamil']""]"
Urfadan Haber,@urfadanhabercom,2021-07-28T07:10:55.000Z,"81 ile 'yurt' genelgesi gönderildi https://urfadanhaber.com/haber/81-ile-yurt-genelgesi-gonderildi.html… 
#Şanlıurfa #Çarşamba #Sağlık","81 ile 'yurt' genelgesi gönderildi
KYK tarafından salgında zorunlu izolasyon için kullanılan yurtların, bakım ve onarımı nedeniyle 31 Temmuz’a kadar tahliye edilmesi istendi.
urfadanhaber.com",,,,"[""['Şanlıurfa', 'Çarşamba', 'Sağlık']""]"
Fadime Turan,@FadimeTuran14,2021-08-02T06:18:34.000Z,"Bugün geride kɑlɑn bir yɑşımı dɑhɑ doldurmɑnın MUTLULUĞUNU yɑşɑrken geleceğin bana kɑlbimdeki tüm DILEKLERI vermesini diliyorum İnşallah.
“AD” günüm KUTLU olsun.
Hoşgeldin Yeni Yaşım 

#2Ağustos
#Sağlık #Mutluluk #Huzur #FadimeTURAN
#Pazartesi 
#Günaydın 
#2Ağustos2021",,,,,"[""['2Ağustos', 'Sağlık', 'Mutluluk', 'Huzur', 'FadimeTURAN', 'Pazartesi', 'Günaydın', '2Ağustos2021']""]"
Güven Çelik Halat,@GuvenCelikHalat,2021-07-28T14:28:11.000Z,"Virüsten korunmak bizim elimizde. Aşımızı yaptıralım.

#covid19 #corona #aşı #güvençelikhalat #sağlık #coronavirus",,,,1,"[""['covid19', 'corona', 'aşı', 'güvençelikhalat', 'sağlık', 'coronavirus']""]"
Urfadan Haber,@urfadanhabercom,2021-07-29T15:15:01.000Z,"Aşı olan gençler, hediyelerini kurayla aldı https://urfadanhaber.com/haber/asi-olan-gencler-hediyelerini-kurayla-aldi.html… 
#Şanlıurfa #Sağlık #Koronavirüs","Aşı olan gençler, hediyelerini kurayla aldı
Koronavirüs salgınının etkisini azaltmak, toplumsal bağışıklığın sağlanması için Şanlıurfa Valiliğince gençleri aşı olmaya teşvik etmeye yönelik düzenlenen hediye kampanyasının ilk çekilişi gerçekl...
urfadanhaber.com",,,,"[""['Şanlıurfa', 'Sağlık', 'Koronavirüs']""]"
