username,twhandle,postdate,content,responding,reply,retweet,like,hashtags
MirrorReview,@MirrorReview1,2021-08-11T17:30:00.000Z,"Where destruction is the motive, unity is dangerous.

Read more Top 20 Ravi Zacharias Quotes https://bit.ly/3s7e6Co

#dangerous #love #danger #thriller #motive #motivation #lgs #motivasyon #s #motiv #love #n #motivational #motivationalquotes  #quotes #inspiration #life",,,1,1,"['dangerous', 'love', 'danger', 'thriller', 'motive', 'motivation', 'lgs', 'motivasyon', 's', 'motiv', 'love', 'n', 'motivational', 'motivationalquotes', 'quotes', 'inspiration', 'life']"
HALICI GROUP,@Halici_Group,2021-08-06T06:00:00.000Z,"Sözcükler bir kişinin zekasını gösterebilir. Ama amacını gösteren eylemleridir.
Benjamin Franklin
Words can show a person's intelligence. But it is his actions that show his purpose.
#BenjaminFranklin
#halıcıgroup #motivasyon #zeka #motivationalquotes",,,2,4,"['BenjaminFranklin', 'halıcıgroup', 'motivasyon', 'zeka', 'motivationalquotes']"
Korkma Ye Zayıfla,@kisiselkoc50,2021-08-07T05:05:38.000Z,"Sabah
#iletişim05425467850 #kormayesagliklizayifla #diyet #diyetteyiz #sport #keşfet #fitness #kiloverme #başarı #motivasyon #sağlık #günaydın #türkiye #sagliklibeslenme #istanbul #bestoftheday #mutluluk #hedef #kişiselgelişim #beslenme #vizyon #instagram #facebook #Cumartesi",,,,1,"['iletişim05425467850', 'kormayesagliklizayifla', 'diyet', 'diyetteyiz', 'sport', 'keşfet', 'fitness', 'kiloverme', 'başarı', 'motivasyon', 'sağlık', 'günaydın', 'türkiye', 'sagliklibeslenme', 'istanbul', 'bestoftheday', 'mutluluk', 'hedef', 'kişiselgelişim', 'beslenme', 'vizyon', 'instagram', 'facebook', 'Cumartesi']"
Buket Atlı,@buketatli,2021-08-09T17:19:53.000Z,"Kendinin farkına var.
#buketatlı #evreninsırrı #koçluk #coach #coaching #yaşamkoçu #farkındalık #evreninilahidili #motivasyon #iyiaksamlar #pazartesi",,,5,83,"['buketatlı', 'evreninsırrı', 'koçluk', 'coach', 'coaching', 'yaşamkoçu', 'farkındalık', 'evreninilahidili', 'motivasyon', 'iyiaksamlar', 'pazartesi']"
workindo,@workindo,2021-08-12T09:13:00.000Z," Kariyerine bir bankada stajyer memur olarak başlayıp, yıllar süren çabayla Sabancı Holding'in yönetim kurulu başkanı olan Sakıp Sabancı; renkli ve enerjik kişiliğiyle tanınan, ilham veren bir iş adamıdır. 

#motivasyon",,,,1,['motivasyon']
Youthall,@youthallcom,2021-08-09T11:32:45.000Z,"Antik zaman Çin filozofu Lao Tzu, güç kavramına farklı bir yorum getiriyor. Haftanıza ilham olması dileğiyle! 

#Youthall #Pazartesi #Motivasyon",,,,2,"['Youthall', 'Pazartesi', 'Motivasyon']"
HALICI GROUP,@Halici_Group,2021-08-13T06:00:01.000Z,"Ne kadar süre denemelisiniz? Olana kadar. Jim Rohn
How long should you try? Until. #JimRohn
#halıcıgroup #jimrohnquotes #mühendislik #motivasyon #motivationalquotes",,,2,3,"['JimRohn', 'halıcıgroup', 'jimrohnquotes', 'mühendislik', 'motivasyon', 'motivationalquotes']"
Tunç Berkman,@BerkmanTunc,2021-08-09T20:33:08.000Z,"Replying to 
@BerkmanTunc",,1,,1,[]
Tunç Berkman,@BerkmanTunc,2021-08-09T20:35:22.000Z,#motivasyon,,,,,['motivasyon']
BİLKolejiDiyarbakır,@bildiyarbakir,2021-08-12T15:44:00.000Z,"Çocuklarımızı Birlikte Keşfetmek İçin.
#eğitimedoğruyerdenbaşlayın #kolej #anaokulu #ilkokul #ortaokul #eğlenereköğreniyoruz #motivasyon #zaman #etkinlik #öğretim #öğretmen #eğitim #teacher #çocuk #öğrenci #hicbirbasaritesadufdegildir #uzmankadro #egitimogretim #beyin #farketmek",,,2,5,"['eğitimedoğruyerdenbaşlayın', 'kolej', 'anaokulu', 'ilkokul', 'ortaokul', 'eğlenereköğreniyoruz', 'motivasyon', 'zaman', 'etkinlik', 'öğretim', 'öğretmen', 'eğitim', 'teacher', 'çocuk', 'öğrenci', 'hicbirbasaritesadufdegildir', 'uzmankadro', 'egitimogretim', 'beyin', 'farketmek']"
